iter	Passed	Remaining
0	169	33812
1	176	17472
2	182	11963
3	188	9219
4	194	7579
5	200	6479
6	206	5697
7	212	5098
8	217	4624
9	223	4247
10	229	3936
11	234	3674
12	240	3456
13	245	3266
14	251	3102
15	257	2962
16	263	2835
17	269	2723
18	274	2618
19	280	2522
20	286	2438
21	291	2359
22	297	2287
23	303	2223
24	309	2164
25	314	2107
26	320	2053
27	325	2001
28	331	1956
29	337	1912
30	343	1872
31	349	1833
32	354	1795
33	360	1760
34	366	1726
35	371	1693
36	377	1663
37	383	1633
38	389	1609
39	395	1582
40	401	1556
41	408	1536
42	414	1515
43	421	1493
44	426	1470
45	432	1447
46	438	1426
47	443	1405
48	449	1384
49	455	1366
50	461	1347
51	467	1330
52	473	1312
53	478	1294
54	484	1278
55	491	1262
56	497	1248
57	503	1233
58	510	1219
59	517	1207
60	523	1193
61	530	1180
62	536	1166
63	543	1154
64	550	1142
65	557	1131
66	563	1118
67	570	1108
68	578	1097
69	585	1086
70	591	1075
71	598	1063
72	604	1051
73	610	1039
74	616	1027
75	622	1015
76	628	1003
77	633	991
78	640	980
79	645	968
80	651	957
81	657	945
82	662	934
83	669	924
84	675	913
85	681	903
86	687	892
87	693	882
88	698	871
89	704	861
90	712	853
91	718	842
92	723	832
93	729	822
94	734	812
95	740	802
96	745	792
97	751	781
98	757	772
99	763	763
100	769	754
101	776	745
102	782	736
103	788	727
104	793	718
105	800	709
106	805	700
107	811	691
108	817	682
109	823	673
110	829	664
111	834	655
112	840	646
113	846	638
114	852	630
115	857	621
116	863	612
117	869	603
118	874	595
119	880	586
120	885	578
121	891	570
122	898	562
123	904	554
124	910	546
125	916	538
126	921	529
127	928	522
128	933	513
129	939	505
130	945	497
131	950	489
132	956	481
133	961	473
134	967	465
135	973	457
136	978	449
137	984	442
138	989	434
139	995	426
140	1001	419
141	1007	411
142	1013	403
143	1019	396
144	1024	388
145	1031	381
146	1036	373
147	1042	366
148	1048	359
149	1054	351
150	1060	344
151	1066	336
152	1072	329
153	1078	322
154	1084	314
155	1089	307
156	1095	300
157	1100	292
158	1107	285
159	1113	278
160	1118	270
161	1124	263
162	1129	256
163	1136	249
164	1142	242
165	1147	235
166	1154	228
167	1160	221
168	1166	213
169	1172	206
170	1177	199
171	1185	192
172	1190	185
173	1196	178
174	1202	171
175	1208	164
176	1214	157
177	1219	150
178	1225	143
179	1230	136
180	1236	129
181	1242	122
182	1247	115
183	1253	108
184	1259	102
185	1264	95
186	1269	88
187	1275	81
188	1282	74
189	1288	67
190	1293	60
191	1299	54
192	1305	47
193	1310	40
194	1316	33
195	1321	26
196	1326	20
197	1333	13
198	1338	6
199	1344	0
